name,michelin_award,city,cuisine1,cuisine2,lon,lat,description,cuisine
28 Wilkie,1,Singapore,Modern Cuisine,,103.8488982,1.3020801,"Known as the city’s first caviar bar, 28 Wilkie",Modern Cuisine
28 Wilkie,1,Singapore,Modern Cuisine,,103.8488982,1.3020801,"Known as the city’s first caviar bar, 28 Wilkie",
28+,1,Gothenburg,Modern Cuisine,,11.9738899,57.6981746,"This atmospheric, passionately run basement restaurant has been a Gothenburg",Modern Cuisine
28+,1,Gothenburg,Modern Cuisine,,11.9738899,57.6981746,"This atmospheric, passionately run basement restaurant has been a Gothenburg",
360°,1,Limburg an der Lahn,Modern Cuisine,International,8.0614395,50.3844391,This restaurant on the third floor of Limburg’s WERKStadt,Modern Cuisine
360°,1,Limburg an der Lahn,Modern Cuisine,International,8.0614395,50.3844391,This restaurant on the third floor of Limburg’s WERKStadt,International
5,1,Stuttgart,Modern Cuisine,,9.1780757,48.7800231,The tried-and-tested concept of a bar on the,Modern Cuisine
5,1,Stuttgart,Modern Cuisine,,9.1780757,48.7800231,The tried-and-tested concept of a bar on the,
7132 Silver,2,Vals,Creative,Innovative,9.181299,46.6226102,Fans of 7132 Silver enthuse not only about the stylishly,Creative
7132 Silver,2,Vals,Creative,Innovative,9.181299,46.6226102,Fans of 7132 Silver enthuse not only about the stylishly,Innovative
7th Door,1,SEOUL,Contemporary,,127.05429,37.52237,Chef Kim Dae-chun’s cooking continues to diversify and,Contemporary
7th Door,1,SEOUL,Contemporary,,127.05429,37.52237,Chef Kim Dae-chun’s cooking continues to diversify and,
8 1/2 Otto e Mezzo - Bombana,3,Hong Kong,Italian,,114.15867,22.2814635,Owner-chef Umberto Bombana’s restaurant oozes Italian charm and,Italian
8 1/2 Otto e Mezzo - Bombana,3,Hong Kong,Italian,,114.15867,22.2814635,Owner-chef Umberto Bombana’s restaurant oozes Italian charm and,
8 1/2 Otto e Mezzo - Bombana,1,Macau,Italian,,113.5553965,22.1465088,The Macau outpost of the award-winning establishment is now,Italian
8 1/2 Otto e Mezzo - Bombana,1,Macau,Italian,,113.5553965,22.1465088,The Macau outpost of the award-winning establishment is now,
8 ½ Otto e Mezzo Bombana,2,Shanghai,Italian,,121.48346,31.244394,The third restaurant under the aegis of chef Umberto Bombana,Italian
8 ½ Otto e Mezzo Bombana,2,Shanghai,Italian,,121.48346,31.244394,The third restaurant under the aegis of chef Umberto Bombana,
80/20,1,Bangkok,Innovative,,100.5154966,13.7311121,"When 80/20 opened, the name marked the ratio of",Innovative
80/20,1,Bangkok,Innovative,,100.5154966,13.7311121,"When 80/20 opened, the name marked the ratio of",
A Casa di Ma,1,Lumio,Creative,,8.8319727,42.5811346,"Lumio, a village in Upper Corsica bathed in light and",Creative
A Casa di Ma,1,Lumio,Creative,,8.8319727,42.5811346,"Lumio, a village in Upper Corsica bathed in light and",
A Cozinha,1,Guimaraes,Modern Cuisine,,-8.2941256,41.4429053,"A pleasant surprise, both in terms of its discreet and",Modern Cuisine
A Cozinha,1,Guimaraes,Modern Cuisine,,-8.2941256,41.4429053,"A pleasant surprise, both in terms of its discreet and",
A Cut,1,Taipei,Steakhouse,,121.52288,25.05666,"After a makeover, this well-known steakhouse re-opened in",Steakhouse
A Cut,1,Taipei,Steakhouse,,121.52288,25.05666,"After a makeover, this well-known steakhouse re-opened in",
A Tafona,1,Santiago de Compostela,Modern Cuisine,,-8.5402512,42.880744,An informal restaurant full of contrasts featuring a combination of,Modern Cuisine
A Tafona,1,Santiago de Compostela,Modern Cuisine,,-8.5402512,42.880744,An informal restaurant full of contrasts featuring a combination of,
A Ver Tavira,1,Tavira,Modern Cuisine,,-7.651429,37.12565,Located on a hill leading up to the Moorish castle,Modern Cuisine
A Ver Tavira,1,Tavira,Modern Cuisine,,-7.651429,37.12565,Located on a hill leading up to the Moorish castle,
A'Barra,1,Madrid,International,,-3.687633,40.438683,"Both the decor, featuring a profusion of high - quality wood",International
A'Barra,1,Madrid,International,,-3.687633,40.438683,"Both the decor, featuring a profusion of high - quality wood",
A. Wong,2,London,Chinese,,-0.1406558,51.4930091,Andrew Wong’s inspiration comes from his travels through the,Chinese
A. Wong,2,London,Chinese,,-0.1406558,51.4930091,Andrew Wong’s inspiration comes from his travels through the,
AALTO,1,Milan,Asian Contemporary,Modern Cuisine,9.1932579,45.4822057,"Some 12 years after opening Iyo in Sempione, the first",Asian Contemporary
AALTO,1,Milan,Asian Contemporary,Modern Cuisine,9.1932579,45.4822057,"Some 12 years after opening Iyo in Sempione, the first",Modern Cuisine
ABaC,3,Barcelona,Creative,,2.1367664,41.4103822,"Discover the unique culinary vision of the bold, media-friendly",Creative
ABaC,3,Barcelona,Creative,,2.1367664,41.4103822,"Discover the unique culinary vision of the bold, media-friendly",
AIRrepublic,1,Cadzand,Seafood,Modern Cuisine,3.3821877,51.3785225,AIRrepublic is a sensational restaurant housed in a sleek building,Seafood
AIRrepublic,1,Cadzand,Seafood,Modern Cuisine,3.3821877,51.3785225,AIRrepublic is a sensational restaurant housed in a sleek building,Modern Cuisine
ALTER EGO,1,Tokyo,Italian,,139.7570936,35.696299,"“Alter Ego” refers to chef Hirayama, right-hand man",Italian
ALTER EGO,1,Tokyo,Italian,,139.7570936,35.696299,"“Alter Ego” refers to chef Hirayama, right-hand man",
AM par Alexandre Mazzia,3,Marseille,Creative,,5.3862325,43.2701104,"In this chic and residential area of Marseille, the talented",Creative
AM par Alexandre Mazzia,3,Marseille,Creative,,5.3862325,43.2701104,"In this chic and residential area of Marseille, the talented",
APRON,1,Vienna,Creative,Seasonal Cuisine,16.3767832,48.199514,You will find this classic yet modern restaurant not far,Creative
APRON,1,Vienna,Creative,Seasonal Cuisine,16.3767832,48.199514,You will find this classic yet modern restaurant not far,Seasonal Cuisine
ARIA,1,Naples,Contemporary,Modern Cuisine,14.2540383,40.8433646,A taste of Sicily in the heart of Naples! Chef,Contemporary
ARIA,1,Naples,Contemporary,Modern Cuisine,14.2540383,40.8433646,A taste of Sicily in the heart of Naples! Chef,Modern Cuisine
ARTEST - Chef's Table,2,Moscow,Creative,Russian,37.586567,55.7544209,"Artest was created by Arkady Novikov, who already owns dozens",Creative
ARTEST - Chef's Table,2,Moscow,Creative,Russian,37.586567,55.7544209,"Artest was created by Arkady Novikov, who already owns dozens",Russian
ASAHINA Gastronome,2,Tokyo,French,,139.779307,35.682829,"Satoru Asahina focuses on creating light dishes, prizing the classic",French
ASAHINA Gastronome,2,Tokyo,French,,139.779307,35.682829,"Satoru Asahina focuses on creating light dishes, prizing the classic",
AUGUST,2,Augsburg,Creative,,10.9126019,48.3710103,Christian Grünwald has a distinct style that is all his,Creative
AUGUST,2,Augsburg,Creative,,10.9126019,48.3710103,Christian Grünwald has a distinct style that is all his,
Aaharn,1,Hong Kong,Thai,,114.1538558,22.2816498,Bright yellow walls and modern art may not say much,Thai
Aaharn,1,Hong Kong,Thai,,114.1538558,22.2816498,Bright yellow walls and modern art may not say much,
Aan de Poel,2,Amstelveen,Creative,,4.8447563,52.2997964,The view over De Poel lake is simply stunning. The,Creative
Aan de Poel,2,Amstelveen,Creative,,4.8447563,52.2997964,The view over De Poel lake is simply stunning. The,
Aan de Zweth,1,Schipluiden,Modern French,,4.3938251,51.9627541,Aan de Zweth is a haven of calm between Rotterdam,Modern French
Aan de Zweth,1,Schipluiden,Modern French,,4.3938251,51.9627541,Aan de Zweth is a haven of calm between Rotterdam,
Abama Kabuki,1,Guía de Isora,Japanese,,-16.7939375,28.1706934,"Situated in the golf club’s Casa Club, this restaurant",Japanese
Abama Kabuki,1,Guía de Isora,Japanese,,-16.7939375,28.1706934,"Situated in the golf club’s Casa Club, this restaurant",
Abantal,1,Seville,Creative,,-5.9836581,37.3878998,Andalucian cuisine with a cutting edge. Individual personality shines through,Creative
Abantal,1,Seville,Creative,,-5.9836581,37.3878998,Andalucian cuisine with a cutting edge. Individual personality shines through,
Abbruzzino,1,Catanzaro,Modern Cuisine,,16.6236902,38.8901852,The elegant and welcoming Abbruzzino is still a good choice,Modern Cuisine
Abbruzzino,1,Catanzaro,Modern Cuisine,,16.6236902,38.8901852,The elegant and welcoming Abbruzzino is still a good choice,
Abocar Due Cucine,1,Rimini,Modern Cuisine,,12.5663487,44.0626895,"Abocar (the word is Spanish for ""to get closer"") demonstrates",Modern Cuisine
Abocar Due Cucine,1,Rimini,Modern Cuisine,,12.5663487,44.0626895,"Abocar (the word is Spanish for ""to get closer"") demonstrates",
Abri,1,Paris,Modern Cuisine,,2.3492225,48.877819,Following in the footsteps of the Japanese chefs who set,Modern Cuisine
Abri,1,Paris,Modern Cuisine,,2.3492225,48.877819,Following in the footsteps of the Japanese chefs who set,
Accents Table Bourse,1,Paris,Modern Cuisine,,2.3404253,48.8699134,"This place close to the Bourse, run by a Japanese",Modern Cuisine
Accents Table Bourse,1,Paris,Modern Cuisine,,2.3404253,48.8699134,"This place close to the Bourse, run by a Japanese",
Accursio,1,Modica,Creative,,14.7606251,36.8599639,"Original, creative and colourful cuisine served in a restaurant with",Creative
Accursio,1,Modica,Creative,,14.7606251,36.8599639,"Original, creative and colourful cuisine served in a restaurant with",
Acqua Pazza,1,Ponza,Seafood,,12.9672021,40.8950712,"Having recently moved premises, Acqua Pazza now boasts a new",Seafood
Acqua Pazza,1,Ponza,Seafood,,12.9672021,40.8950712,"Having recently moved premises, Acqua Pazza now boasts a new",
Acquarello,1,Munich,Mediterranean Cuisine,Italian,11.6138327,48.1421393,"The Latin flair of this friendly, elegant restaurant is the",Mediterranean Cuisine
Acquarello,1,Munich,Mediterranean Cuisine,Italian,11.6138327,48.1421393,"The Latin flair of this friendly, elegant restaurant is the",Italian
Acquerello,2,San Francisco,Italian,Contemporary,-122.42131,37.79167,"With its air of old-world sophistication, this is the",Italian
Acquerello,2,San Francisco,Italian,Contemporary,-122.42131,37.79167,"With its air of old-world sophistication, this is the",Contemporary
Acquerello,1,Fagnano Olona,Creative,,8.8704486,45.6691392,"Although there is a menu at this restaurant, the best",Creative
Acquerello,1,Fagnano Olona,Creative,,8.8704486,45.6691392,"Although there is a menu at this restaurant, the best",
Acquolina,1,Rome,Seafood,Creative,12.4753719,41.9086474,Located on the ground floor of the centrally located luxury,Seafood
Acquolina,1,Rome,Seafood,Creative,12.4753719,41.9086474,Located on the ground floor of the centrally located luxury,Creative
Adam's,1,Birmingham,Modern Cuisine,,-1.9013634,52.4799361,Adam Stokes’ elegant restaurant feels like it’s been part,Modern Cuisine
Adam's,1,Birmingham,Modern Cuisine,,-1.9013634,52.4799361,Adam Stokes’ elegant restaurant feels like it’s been part,
Addison,2,San Diego,Contemporary,French,-117.1988908,32.9412972,Chef William Bradley's standard-setting dining room is exceedingly,Contemporary
Addison,2,San Diego,Contemporary,French,-117.1988908,32.9412972,Chef William Bradley's standard-setting dining room is exceedingly,French
Adega,1,San Jose,Portuguese,Californian,-121.85845,37.35131,"Adega is Portuguese for “wine cellar,” and following suit, this",Portuguese
Adega,1,San Jose,Portuguese,Californian,-121.85845,37.35131,"Adega is Portuguese for “wine cellar,” and following suit, this",Californian
Adelboden,2,Steinen,Classic French,Classic Cuisine,8.6212395,47.0611802,"If you are looking for great classic cuisine, try Ruth",Classic French
Adelboden,2,Steinen,Classic French,Classic Cuisine,8.6212395,47.0611802,"If you are looking for great classic cuisine, try Ruth",Classic Cuisine
Adler,1,Lahr,Modern French,,7.9249354,48.3299999,"At Adler, Daniel Fehrenbacher serves his signature modern, aromatic cuisine",Modern French
Adler,1,Lahr,Modern French,,7.9249354,48.3299999,"At Adler, Daniel Fehrenbacher serves his signature modern, aromatic cuisine",
Admiral,1,Weisenheim am Berg,Contemporary,Classic Cuisine,8.1545647,49.5125753,A truly charming restaurant and a classic in the region,Contemporary
Admiral,1,Weisenheim am Berg,Contemporary,Classic Cuisine,8.1545647,49.5125753,A truly charming restaurant and a classic in the region,Classic Cuisine
Adrián Quetglas,1,Palma,Modern Cuisine,,2.6432285,39.5734906,"An intimate, bistro-style restaurant with a welcoming feel in",Modern Cuisine
Adrián Quetglas,1,Palma,Modern Cuisine,,2.6432285,39.5734906,"An intimate, bistro-style restaurant with a welcoming feel in",
After Seven,1,Zermatt,Creative,,7.7478621,46.021962,"Accessible via a glazed lift, the interior at After Seven",Creative
After Seven,1,Zermatt,Creative,,7.7478621,46.021962,"Accessible via a glazed lift, the interior at After Seven",
Agapé,1,Paris,Modern Cuisine,,2.3070328,48.885054,"Soft hues, a sculpture by Nathalie Decoster, and paintings by",Modern Cuisine
Agapé,1,Paris,Modern Cuisine,,2.3070328,48.885054,"Soft hues, a sculpture by Nathalie Decoster, and paintings by",
Agata's,1,Düsseldorf,Modern Cuisine,International,6.7759356,51.2123205,It is a real pleasure to sit in the chic,Modern Cuisine
Agata's,1,Düsseldorf,Modern Cuisine,International,6.7759356,51.2123205,It is a real pleasure to sit in the chic,International
Agli Amici,2,Godia,Modern Cuisine,,13.2661148,46.1022873,Made from top-quality ingredients such as vegetables and fish,Modern Cuisine
Agli Amici,2,Godia,Modern Cuisine,,13.2661148,46.1022873,Made from top-quality ingredients such as vegetables and fish,
Agli Amici Rovinj,1,Rovinj,Italian Contemporary,Modern Cuisine,13.6360524,45.0747789,Chef Scarello’s latest venture is this new restaurant in,Italian Contemporary
Agli Amici Rovinj,1,Rovinj,Italian Contemporary,Modern Cuisine,13.6360524,45.0747789,Chef Scarello’s latest venture is this new restaurant in,Modern Cuisine
Agrikultur,1,Stockholm,Modern Cuisine,,18.0569193,59.3493655,"The open kitchen, with its aga and wood-burning oven",Modern Cuisine
Agrikultur,1,Stockholm,Modern Cuisine,,18.0569193,59.3493655,"The open kitchen, with its aga and wood-burning oven",
Ahlmanns,1,Kiel,Creative,,10.1513168,54.3387107,Housed in an elegant former banker’s mansion dating back,Creative
Ahlmanns,1,Kiel,Creative,,10.1513168,54.3387107,Housed in an elegant former banker’s mansion dating back,
Ai Fiori,1,New York,Italian,,-73.98357,40.75013,Elegantly accessed by a sweeping staircase (or elevator) in the,Italian
Ai Fiori,1,New York,Italian,,-73.98357,40.75013,Elegantly accessed by a sweeping staircase (or elevator) in the,
Aida,1,Paris,Japanese,,2.3186554,48.850275,Be transported to the Land of the Rising Sun in,Japanese
Aida,1,Paris,Japanese,,2.3186554,48.850275,Be transported to the Land of the Rising Sun in,
Aigue Marine,1,Tréguier,Creative,,-3.2239981,48.7869465,Let yourself be surprised by the creative culinary score of,Creative
Aigue Marine,1,Tréguier,Creative,,-3.2239981,48.7869465,Let yourself be surprised by the creative culinary score of,
Aimsir,2,Celbridge,Modern Cuisine,,-6.5582175,53.2990793,Start with a cocktail in the lounge overlooking the garden,Modern Cuisine
Aimsir,2,Celbridge,Modern Cuisine,,-6.5582175,53.2990793,Start with a cocktail in the lounge overlooking the garden,
Aira,1,Stockholm,Modern Cuisine,Swedish,18.123759,59.3207081,In a delightful harbour setting sits this striking restaurant offering,Modern Cuisine
Aira,1,Stockholm,Modern Cuisine,Swedish,18.123759,59.3207081,In a delightful harbour setting sits this striking restaurant offering,Swedish
Aji Fukushima,1,Kyoto,Japanese,,135.7754318,35.0030663,The talented head chef was discovered by an ochaya proprietress,Japanese
Aji Fukushima,1,Kyoto,Japanese,,135.7754318,35.0030663,The talented head chef was discovered by an ochaya proprietress,
Ajikitcho Bumbuan,1,Osaka,Japanese,,135.501093,34.68307,Trees and moss decorate the interior for a modern design,Japanese
Ajikitcho Bumbuan,1,Osaka,Japanese,,135.501093,34.68307,Trees and moss decorate the interior for a modern design,
Ajikitcho Horieten,1,Osaka,Japanese,,135.494025,34.673651,"The first-generation owner-chef learned from Teiichi Yuki, who",Japanese
Ajikitcho Horieten,1,Osaka,Japanese,,135.494025,34.673651,"The first-generation owner-chef learned from Teiichi Yuki, who",
Akai,1,Kyoto,Japanese,,135.7742632,35.002046,Occupying a classic old building that was once a tearoom,Japanese
Akai,1,Kyoto,Japanese,,135.7742632,35.002046,Occupying a classic old building that was once a tearoom,
Akanezaka Onuma,1,Tokyo,Japanese,,139.737891,35.674046,"Working at a company did not suit Mitsuharu Onuma, so",Japanese
Akanezaka Onuma,1,Tokyo,Japanese,,139.737891,35.674046,"Working at a company did not suit Mitsuharu Onuma, so",
Akasaka Izumi,1,Tokyo,Fugu / Pufferfish,,139.7346374,35.669768,Enjoy fugu from Shimonoseki or the Genkai Sea year-round,Fugu / Pufferfish
Akasaka Izumi,1,Tokyo,Fugu / Pufferfish,,139.7346374,35.669768,Enjoy fugu from Shimonoseki or the Genkai Sea year-round,
Akasaka Kikunoi,2,Tokyo,Japanese,,139.734068,35.669869,Experience the tradition and innovation of Kyoto’s venerable Kikunoi,Japanese
Akasaka Kikunoi,2,Tokyo,Japanese,,139.734068,35.669869,Experience the tradition and innovation of Kyoto’s venerable Kikunoi,
Akasaka Momonoki,1,Tokyo,Chinese,,139.737003,35.679726,Quality domestic ingredients are used here based on the credo,Chinese
Akasaka Momonoki,1,Tokyo,Chinese,,139.737003,35.679726,Quality domestic ingredients are used here based on the credo,
Akasaka Ogino,1,Tokyo,Japanese,,139.7352287,35.6708873,The owner-chef absorbed the spirit of the tea ceremony,Japanese
Akasaka Ogino,1,Tokyo,Japanese,,139.7352287,35.6708873,The owner-chef absorbed the spirit of the tea ceremony,
Akebonobashi Marutomi,1,Tokyo,Japanese,,139.7215462,35.6919103,Kaiseki menus here feature a combination of seasonal ingredients and,Japanese
Akebonobashi Marutomi,1,Tokyo,Japanese,,139.7215462,35.6919103,Kaiseki menus here feature a combination of seasonal ingredients and,
Akelaŕe,3,Donostia / San Sebastián,Creative,Traditional Cuisine,-2.0731493,43.3027805,A renowned restaurant boasting an impressive design and stunning sea,Creative
Akelaŕe,3,Donostia / San Sebastián,Creative,Traditional Cuisine,-2.0731493,43.3027805,A renowned restaurant boasting an impressive design and stunning sea,Traditional Cuisine
Akiyama,1,Tokyo,Japanese,,139.724801,35.644452,Hideto Akiyama wants his customers to enjoy themselves without having,Japanese
Akiyama,1,Tokyo,Japanese,,139.724801,35.644452,Hideto Akiyama wants his customers to enjoy themselves without having,
Akrame,1,Paris,Creative,,2.3252971,48.8714069,Akrame Benallal now dons his chef's hat in this,Creative
Akrame,1,Paris,Creative,,2.3252971,48.8714069,Akrame Benallal now dons his chef's hat in this,
Aksorn,1,Bangkok,Thai,,100.5162344,13.7244882,Taking Thai cookbooks from the 1940s to the 1970s as,Thai
Aksorn,1,Bangkok,Thai,,100.5162344,13.7244882,Taking Thai cookbooks from the 1940s to the 1970s as,
Al Gambero,1,Calvisano,Regional Cuisine,Classic Cuisine,10.3430573,45.3492146,"In the most Italian of gastronomic traditions, the history of",Regional Cuisine
Al Gambero,1,Calvisano,Regional Cuisine,Classic Cuisine,10.3430573,45.3492146,"In the most Italian of gastronomic traditions, the history of",Classic Cuisine
Al Metrò,1,San Salvo Marina,Modern Cuisine,Mediterranean Cuisine,14.7750147,42.0681488,Elegant and minimalist - style cuisine which shows real passion and,Modern Cuisine
Al Metrò,1,San Salvo Marina,Modern Cuisine,Mediterranean Cuisine,14.7750147,42.0681488,Elegant and minimalist - style cuisine which shows real passion and,Mediterranean Cuisine
Al Sorriso,1,Soriso,Classic Cuisine,Modern Cuisine,8.4117561,45.7406199,Fans of the Piedmont and its mountains will be in,Classic Cuisine
Al Sorriso,1,Soriso,Classic Cuisine,Modern Cuisine,8.4117561,45.7406199,Fans of the Piedmont and its mountains will be in,Modern Cuisine
Al Sud,1,Lagos,Creative,,-8.6426777,37.1318946,"Part of the Clubhouse at the Palmares resort, Al Sud",Creative
Al Sud,1,Lagos,Creative,,-8.6426777,37.1318946,"Part of the Clubhouse at the Palmares resort, Al Sud",
Al's Place,1,San Francisco,Californian,Contemporary,-122.42013,37.748924,Vegetables are the star of the menu at this bright,Californian
Al's Place,1,San Francisco,Californian,Contemporary,-122.42013,37.748924,Vegetables are the star of the menu at this bright,Contemporary
Alain Bianchin,1,Overijse,Modern French,Creative French,4.4819428,50.793583,Alain Bianchin deploys the full gamut of his experience and,Modern French
Alain Bianchin,1,Overijse,Modern French,Creative French,4.4819428,50.793583,Alain Bianchin deploys the full gamut of his experience and,Creative French
Alain Ducasse at Morpheus,2,Macau,French Contemporary,,113.5669767,22.1501736,You’ll find renowned French Chef Alain Ducasse’s first,French Contemporary
Alain Ducasse at Morpheus,2,Macau,French Contemporary,,113.5669767,22.1501736,You’ll find renowned French Chef Alain Ducasse’s first,
Alain Ducasse at The Dorchester,3,London,French,,-0.152575,51.5073381,"Coco Chanel once opined that “Luxury must be comfortable, otherwise",French
Alain Ducasse at The Dorchester,3,London,French,,-0.152575,51.5073381,"Coco Chanel once opined that “Luxury must be comfortable, otherwise",
Alain Llorca,1,La Colle-sur-Loup,Provençal,,7.1089745,43.6952832,Those who remember Alain Llorca at Le Moulin de Mougins,Provençal
Alain Llorca,1,La Colle-sur-Loup,Provençal,,7.1089745,43.6952832,Those who remember Alain Llorca at Le Moulin de Mougins,
Alameda,1,Hondarribia,Modern Cuisine,,-1.7925817,43.3612194,A charming restaurant run by the third generation of the,Modern Cuisine
Alameda,1,Hondarribia,Modern Cuisine,,-1.7925817,43.3612194,A charming restaurant run by the third generation of the,
Alan Geaam,1,Paris,Creative,,2.2923267,48.8714855,"Everyone has heard of the American dream, but Alan Geaam",Creative
Alan Geaam,1,Paris,Creative,,2.2923267,48.8714855,"Everyone has heard of the American dream, but Alan Geaam",
Alarde,1,Osaka,Spanish,,135.4940098,34.6807919,The owner-chef was fascinated by the ‘Asador’ style of,Spanish
Alarde,1,Osaka,Spanish,,135.4940098,34.6807919,The owner-chef was fascinated by the ‘Asador’ style of,
Albert 1er,1,Chamonix-Mont-Blanc,Classic Cuisine,,6.8739886,45.9249264,"Founded in 1903, this establishment is now in the hands",Classic Cuisine
